City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current description
283,Sochi,RU,43.6,39.7303,53.69,80,99,9.66,overcast clouds
284,Bongaree,AU,-27.0797,153.1586,63.21,78,3,5.37,clear sky
285,Georgetown,MY,5.4112,100.3354,80.53,87,20,8.05,few clouds
286,Saint George,US,37.1041,-113.5841,46.44,42,0,1.99,clear sky
287,Xucheng,CN,20.35,110.1288,74.79,83,23,7.47,few clouds
288,Iqaluit,CA,63.7506,-68.5145,17.33,79,100,13.8,light snow
289,Camacha,PT,33.0833,-16.3333,63.82,55,75,16.11,broken clouds
290,Constitucion,CL,-35.3333,-72.4167,68.2,66,20,19.75,few clouds
291,Taksimo,RU,56.3444,114.8794,5.99,90,83,3.98,broken clouds
292,Ponta Do Sol,PT,32.6667,-17.1,69.01,52,21,10.4,few clouds
293,Namibe,AO,-15.1961,12.1522,77.63,78,0,12.66,clear sky
294,Acapulco,MX,16.8634,-99.8901,89.42,45,0,0.0,clear sky
295,Beringovskiy,RU,63.05,179.3167,13.82,83,98,4.07,overcast clouds
296,Marystown,CA,47.1666,-55.1483,39.29,66,90,26.37,overcast clouds
297,Lensk,RU,60.7253,114.9278,-16.19,99,17,5.14,few clouds
298,Teknaf,BD,20.8624,92.3058,71.89,66,53,8.37,broken clouds
299,Sainte-Maxime,FR,43.3,6.6333,58.19,48,67,14.56,broken clouds
300,Libreville,GA,0.3925,9.4537,79.88,78,74,6.67,broken clouds
301,Dubbo,AU,-32.25,148.6167,53.73,87,85,8.05,overcast clouds
302,Phangnga,TH,8.4509,98.5298,77.04,90,98,1.61,light rain
303,Zacualpan,MX,21.25,-105.1667,89.22,56,8,5.93,clear sky
304,Lorengau,PG,-2.0226,147.2712,81.21,74,98,4.07,overcast clouds
305,Les Cayes,HT,18.2,-73.75,85.3,61,76,10.63,broken clouds
306,Marsa Matruh,EG,31.3525,27.2453,71.8,24,0,11.5,clear sky
307,Touros,BR,-5.1989,-35.4608,83.55,58,39,11.7,scattered clouds
308,Hovd,MN,48.0056,91.6419,12.13,44,0,3.36,clear sky
